artistId	no
2wIVse2owClT7go1WT98tk	2153
26dSoYclwsYLMAKD3tpOr4	1
6vWDO969PvNqNYHIOW5v0m	2
31TPClRtHm23RisEBtV3X7	3
5EvFsr3kj42KNv97ZEnqij	4
23zg3TcAtWQy7J6upgbUnj	5
6wPhSqRtPu1UhRCDX5yaDJ	6
1Y8cdNmUJH7yBTd9yOvr5i	7
1G9G7WwrXka3Z1r7aIDjI7	8
2jw70GZXlAI8QzWeY2bgRc	9
2Hjj68yyUPiC0HKEOigcEp	10
27FGXRNruFoOdf1vP8dqcH	11
0f5nVCcR06GX8Qikz0COtT	12
0p4nmQO2msCgU4IF37Wi3j	13
7bXgB6jMjp9ATFy66eO08Z	14
4TKTii6gnOnUXQHyuo9JaD	15
1yxSLGMDHlW21z4YXirZDS	16
5ND0mGcL9SKSjWIjPd0xIb	17
01lz5VBfkMFDteSA9pKJuP	18
7gOdHgIoIKoe4i9Tta6qdD	19
5qK5bOC6wLtuLhG5KvU17c	20
0N0d3kjwdY2h7UVuTdJGfp	21
07YZf4WDAMNwqr4jfgOZ8y	22
21E3waRsmPlU7jZsS13rcj	23
5YGY8feqx7naU7z4HrwZM6	24
0vWCyXMrrvMlCcepuOJaGI	25
5tKXB9uuebKE34yowVaU3C	26
6LqNN22kT3074XbTVUrhzX	27
1uNFoZAHBGtllmzznpCI3s	28
0QJIPDAEDILuo8AIq3pMuU	29
0C0XlULifJtAgn6ZNCW2eu	30
6FBDaR13swtiWwGhX1WQsP	31
3vAaWhdBR38Q02ohXqaNHT	32
5ILrArfIV0tMURcHJN8Q07	33
7vWBZm3sQ8yQvfV4nXxHXK	34
6S2OmqARrzebs0tKUEyXyp	35
3ao3jf5d70Tf4fPh2bnXVl	36
26bcq2nyj5GB7uRr558iQg	37
7zdmbPudNX4SQJXnYIuCTC	38
6BKWwLs98ZY3ifhCDNGvLk	39
6Gp8BbKAqPO3R0UAYkm8J0	40
3cR4rhS2hBWqI7rJEBacvN	41
6sLwRSXSUF5JTUnQaFenyj	42
4aXXDj9aZnlshx7mzj3W1N	43
36QJpDe2go2KgaRleHCDTp	44
4e5V1Q2dKCzbLVMQ8qbTn6	45
2NPduAUeLVsfIauhRwuft1	46
5GtMEZEeFFsuHY8ad4kOxv	47
22bE4uQ6baNwSHPVcDxLCe	48
4MVyzYMgTwdP7Z49wAZHx0	49
29kkCKKGXheHuoO829FxWK	50
0PFtn5NtBbbUNbU9EAmIWF	51
2hl0xAkS2AIRAu23TVMBG1	52
1dfeR4HaWDbWqFHLkxsg1d	53
3qm84nBOXUEQ2vnTfUTTFC	54
3IYUhFvPQItj6xySrBmZkd	55
27T030eWyCQRmDyuvr1kxY	56
2Hkut4rAAyrQxRdof7FVJq	57
7lXgbtBDcCRbfc5f8FhGUL	58
2e4G04F77jxVuDYo44TCSm	59
0hT0UrjmzkLJouAT52ck6j	60
3Nrfpe0tUJi4K4DXYWgMUX	61
3g34PW5oNmDBxMVUTzx2XK	62
7cVZApDoQZpS447nHTsNqu	63
3uGFTJ7JMllvhgGpumieHF	64
1ukccHTdm6Xjmag0QLNJBx	65
5HenzRvMtSrgtvU16XAoby	66
2JhAlkmukNvarUpGhTFXUQ	67
4XDi67ZENZcbfKnvMnTYsI	68
4XpUIb8uuNlIWVKmgKZXC0	69
41MozSoPIsD1dJM0CLPjZF	70
1sVSMPPNMMSZ7cQNfbvMOe	71
6zhAP0FoDccL9kuETOC20q	72
6dCz3spfpIvqqqsIoP6wXi	73
2uWcrwgWmZcQc3IPBs3tfU	74
4U80LJd8sG6U9YTFP5izka	75
4ufh0WuMZh6y4Dmdnklvdl	76
